"Tanggal","<p style='color:grey'>PROBABLE</p>","<p style='color:grey'>SUSPEK</p>","<p style='color:grey'>POSITIF</p>","<p style='color:grey'>SEMBUH</p>","<p style='color:grey'>MENINGGAL</p>"
"2020-04-09 00:00:00",0,,36,10,12
"2020-04-10 00:00:00",0,,42,22,12
"2020-04-11 00:00:00",0,,45,25,13
"2020-04-12 00:00:00",0,,50,27,14
"2020-04-13 00:00:00",0,,56,31,14
"2020-04-14 00:00:00",0,,62,36,15
"2020-04-15 00:00:00",0,,71,39,16
"2020-04-16 00:00:00",0,,86,40,17
"2020-04-17 00:00:00",0,,93,40,19
"2020-04-18 00:00:00",0,,110,41,20
"2020-04-19 00:00:00",0,,120,41,21
"2020-04-20 00:00:00",0,,125,42,22
"2020-04-21 00:00:00",0,,127,42,23
"2020-04-22 00:00:00",0,,128,42,24
"2020-04-23 00:00:00",0,,126,50,25
"2020-04-24 00:00:00",0,,148,50,29
"2020-04-25 00:00:00",0,,137,61,30
"2020-04-26 00:00:00",0,,134,70,30
"2020-04-27 00:00:00",0,,130,75,30
"2020-04-28 00:00:00",0,,118,88,30
"2020-04-29 00:00:00",0,,118,90,30
"2020-04-30 00:00:00",0,,116,94,30
"2020-05-01 00:00:00",0,,108,107,30
"2020-05-02 00:00:00",0,,109,107,30
"2020-05-03 00:00:00",0,,105,113,30
"2020-05-04 00:00:00",0,,98,132,30
"2020-05-05 00:00:00",0,,80,151,30
"2020-05-06 00:00:00",0,,86,155,30
"2020-05-07 00:00:00",0,,75,173,30
"2020-05-08 00:00:00",0,,74,182,30
"2020-05-09 00:00:00",0,,70,186,30
"2020-05-10 00:00:00",0,,68,188,30
"2020-05-11 00:00:00",0,,70,189,30
"2020-05-12 00:00:00",0,,55,202,30
"2020-05-13 00:00:00",0,,49,211,30
"2020-05-14 00:00:00",0,,55,213,30
"2020-05-15 00:00:00",0,,54,215,30
"2020-05-16 00:00:00",0,,57,221,30
"2020-05-17 00:00:00",0,,57,224,31
"2020-05-18 00:00:00",0,,50,231,33
"2020-05-19 00:00:00",0,,47,236,34
"2020-05-20 00:00:00",0,,49,240,36
"2020-05-21 00:00:00",0,,57,249,36
"2020-05-22 00:00:00",0,,61,251,37
"2020-05-23 00:00:00",0,,75,251,37
"2020-05-24 00:00:00",0,,81,251,37
"2020-05-25 00:00:00",0,,80,252,37
"2020-05-26 00:00:00",0,,82,252,37
"2020-05-27 00:00:00",0,,86,253,38
"2020-05-28 00:00:00",0,,88,256,39
"2020-05-29 00:00:00",0,,95,260,39
"2020-05-30 00:00:00",0,,99,261,40
"2020-05-31 00:00:00",0,,115,267,40
"2020-06-01 00:00:00",0,,122,270,41
"2020-06-02 00:00:00",0,,128,276,43
"2020-06-03 00:00:00",0,,136,278,45
"2020-06-04 00:00:00",0,,149,280,47
"2020-06-05 00:00:00",0,,168,282,48
